cow_id,farm_id,day,hour,steps,temperature,humidity
1,2,0,0,148,16.4,47.5
1,2,0,1,102,22.1,64.1
1,2,0,2,198,15.7,45.0
1,2,0,3,149,17.4,63.9
1,2,0,4,161,23.9,78.8
1,2,0,5,177,19.6,72.1
1,2,0,6,69,16.6,35.1
1,2,0,7,199,16.2,38.1
1,2,0,8,133,16.9,78.7
1,2,0,9,83,21.7,38.7
1,2,0,10,185,23.3,42.2
1,2,0,11,79,15.1,67.2
1,2,0,12,166,16.3,44.1
1,2,0,13,63,15.9,67.0
1,2,0,14,172,15.7,57.2
1,2,0,15,65,20.0,60.4
1,2,0,16,70,20.7,69.8
1,2,0,17,120,21.0,42.4
1,2,0,18,105,19.4,76.9
1,2,0,19,186,20.5,40.8
1,2,0,20,117,22.7,39.3
1,2,0,21,111,16.4,76.1
1,2,0,22,52,19.2,75.6
1,2,0,23,78,20.3,58.2
1,2,1,0,95,20.5,49.8
1,2,1,1,73,18.6,58.6
1,2,1,2,67,24.0,38.8
1,2,1,3,133,20.3,34.7
1,2,1,4,72,17.1,33.9
1,2,1,5,50,21.2,64.1
1,2,1,6,54,17.3,76.0
1,2,1,7,130,15.2,55.0
1,2,1,8,66,19.0,48.7
1,2,1,9,139,18.9,36.2
1,2,1,10,175,24.0,56.0
1,2,1,11,149,24.2,48.9
1,2,1,12,106,24.9,41.7
1,2,1,13,164,18.8,34.4
1,2,1,14,137,18.1,36.3
1,2,1,15,58,22.8,33.3
1,2,1,16,82,21.2,59.5
1,2,1,17,132,15.7,48.7
1,2,1,18,107,23.8,53.8
1,2,1,19,134,23.3,63.0
1,2,1,20,77,20.8,39.3
1,2,1,21,192,20.8,55.4
1,2,1,22,120,19.2,65.6
1,2,1,23,107,17.4,60.5
1,2,2,0,68,21.5,68.4
1,2,2,1,63,17.7,42.6
1,2,2,2,162,23.5,74.5
1,2,2,3,160,18.0,53.7
1,2,2,4,171,22.7,30.9
1,2,2,5,116,24.5,76.4
1,2,2,6,108,15.1,72.9
1,2,2,7,160,18.5,61.4
1,2,2,8,66,18.9,64.4
1,2,2,9,83,24.0,65.9
1,2,2,10,86,16.6,49.8
1,2,2,11,114,23.4,38.1
1,2,2,12,77,19.5,67.0
1,2,2,13,178,22.6,30.8
1,2,2,14,102,21.0,37.2
1,2,2,15,64,15.9,73.0
1,2,2,16,171,23.6,35.5
1,2,2,17,171,20.0,61.0
1,2,2,18,163,20.7,43.9
1,2,2,19,75,19.8,65.8
1,2,2,20,94,15.3,31.6
1,2,2,21,139,15.5,64.7
1,2,2,22,187,24.6,65.8
1,2,2,23,116,22.2,38.1
1,2,3,0,130,22.4,52.8
1,2,3,1,57,19.7,69.1
1,2,3,2,139,17.9,38.1
1,2,3,3,167,18.4,57.2
1,2,3,4,168,15.8,47.2
1,2,3,5,191,21.3,55.1
1,2,3,6,191,15.5,50.9
1,2,3,7,75,18.5,68.4
1,2,3,8,67,17.9,62.6
1,2,3,9,179,15.9,51.8
1,2,3,10,54,23.0,72.1
1,2,3,11,94,16.8,65.9
1,2,3,12,56,17.7,52.7
1,2,3,13,89,23.8,65.5
1,2,3,14,53,24.4,79.0
1,2,3,15,190,16.1,41.8
1,2,3,16,92,15.1,37.4
1,2,3,17,138,18.2,46.0
1,2,3,18,136,18.7,71.6
1,2,3,19,145,21.5,50.8
1,2,3,20,175,23.6,40.7
1,2,3,21,131,17.4,67.1
1,2,3,22,77,21.0,44.5
1,2,3,23,164,15.7,43.4
1,2,4,0,124,23.7,62.0
1,2,4,1,199,19.7,73.3
1,2,4,2,83,18.2,68.7
1,2,4,3,51,16.7,41.1
1,2,4,4,200,20.3,65.3
1,2,4,5,165,15.9,59.7
1,2,4,6,87,24.0,68.8
1,2,4,7,56,15.4,66.7
1,2,4,8,179,20.0,56.2
1,2,4,9,174,18.7,57.1
1,2,4,10,171,17.3,31.2
1,2,4,11,62,24.0,61.7
1,2,4,12,194,23.5,54.3
1,2,4,13,63,19.7,35.3
1,2,4,14,71,20.0,59.0
1,2,4,15,154,24.5,53.5
1,2,4,16,196,23.0,56.2
1,2,4,17,86,19.9,57.9
1,2,4,18,83,23.5,31.9
1,2,4,19,120,21.4,48.1
1,2,4,20,85,21.8,42.8
1,2,4,21,110,15.3,64.6
1,2,4,22,151,20.9,41.7
1,2,4,23,67,15.4,51.1
1,2,5,0,192,24.2,33.9
1,2,5,1,88,23.5,53.1
1,2,5,2,178,16.9,54.0
1,2,5,3,58,24.5,31.7
1,2,5,4,104,24.9,69.9
1,2,5,5,192,15.6,56.6
1,2,5,6,174,15.5,61.0
1,2,5,7,171,22.9,30.6
1,2,5,8,183,20.1,45.1
1,2,5,9,74,16.9,53.4
1,2,5,10,83,20.4,30.2
1,2,5,11,144,19.3,73.6
1,2,5,12,102,19.5,73.2
1,2,5,13,154,17.8,38.5
1,2,5,14,174,23.7,33.0
1,2,5,15,54,21.9,71.8
1,2,5,16,154,23.3,37.2
1,2,5,17,117,24.5,50.1
1,2,5,18,148,18.9,75.0
1,2,5,19,193,20.0,73.4
1,2,5,20,189,17.0,74.1
1,2,5,21,152,16.1,36.0
1,2,5,22,184,21.8,43.6
1,2,5,23,106,21.1,79.5
1,2,6,0,158,16.2,31.6
1,2,6,1,103,23.2,38.6
1,2,6,2,95,23.9,49.7
1,2,6,3,82,19.0,34.6
1,2,6,4,171,23.3,46.9
1,2,6,5,53,21.5,32.1
1,2,6,6,200,20.9,73.4
1,2,6,7,137,20.4,48.2
1,2,6,8,135,23.9,73.3
1,2,6,9,171,19.5,73.3
1,2,6,10,107,24.0,63.7
1,2,6,11,118,19.4,66.8
1,2,6,12,104,24.2,41.7
1,2,6,13,188,24.9,35.9
1,2,6,14,71,15.5,33.1
1,2,6,15,111,24.8,71.9
1,2,6,16,95,21.3,37.7
1,2,6,17,111,22.4,59.4
1,2,6,18,72,17.2,49.4
1,2,6,19,91,23.8,66.1
1,2,6,20,156,20.3,33.2
1,2,6,21,107,21.7,49.9
1,2,6,22,200,16.4,64.0
1,2,6,23,111,16.4,61.2
1,2,7,0,170,19.7,66.1
1,2,7,1,200,15.9,45.1
1,2,7,2,176,23.8,73.4
1,2,7,3,167,20.6,49.7
1,2,7,4,74,22.1,60.6
1,2,7,5,65,23.6,34.5
1,2,7,6,97,19.3,46.7
1,2,7,7,184,20.3,45.5
1,2,7,8,115,15.3,70.6
1,2,7,9,200,15.6,36.4
1,2,7,10,159,16.9,42.3
1,2,7,11,62,15.2,49.1
1,2,7,12,80,21.0,33.9
1,2,7,13,149,16.4,53.3
1,2,7,14,188,15.9,62.1
1,2,7,15,190,19.5,74.5
1,2,7,16,81,22.5,30.8
1,2,7,17,71,15.4,63.0
1,2,7,18,96,20.0,55.9
1,2,7,19,68,24.5,50.8
1,2,7,20,105,18.8,57.4
1,2,7,21,53,18.7,70.4
1,2,7,22,52,17.7,49.2
1,2,7,23,131,23.9,65.4
1,2,8,0,155,16.0,77.7
1,2,8,1,147,20.5,67.7
1,2,8,2,72,20.2,35.7
1,2,8,3,167,22.4,53.3
1,2,8,4,92,18.5,49.1
1,2,8,5,83,20.9,63.4
1,2,8,6,137,18.8,79.7
1,2,8,7,96,17.3,55.5
1,2,8,8,59,16.0,35.7
1,2,8,9,122,19.7,48.8
1,2,8,10,165,19.2,79.3
1,2,8,11,140,19.9,35.0
1,2,8,12,71,18.8,71.4
1,2,8,13,122,23.9,57.5
1,2,8,14,181,16.5,76.3
1,2,8,15,69,17.2,34.7
1,2,8,16,136,24.2,68.5
1,2,8,17,163,18.0,78.3
