factor,id,env,obs
A,id_5,env_1,1.3982472824839551
B,id_2,env_2,0.11808132215675594
C,id_1,env_1,-1.3522204133106983
D,id_2,env_2,3.0281062388653903
A,id_2,env_1,0.8859379604297589
B,id_6,env_2,0.061931775432149075
C,id_5,env_1,0.4382864727366291
D,id_5,env_2,-0.6650479235872614
A,id_4,env_1,-1.7274808937088109
B,id_6,env_2,1.1092665215295052
C,id_5,env_1,-0.2945760875813763
D,id_6,env_2,-1.0138202184433522
A,id_5,env_1,0.5879331377453689
B,id_2,env_2,2.09144516078353
C,id_1,env_1,-1.0873483963684172
D,id_3,env_2,-0.37999618835994925
A,id_3,env_1,-0.22328251631117585
B,id_2,env_2,0.7141410039865385
C,id_5,env_1,1.402216202786239
D,id_3,env_2,-1.1762372744666967
A,id_3,env_1,0.011446470557351424
B,id_6,env_2,-1.629970504167615
C,id_5,env_1,1.6559115846583685
D,id_2,env_2,-0.11106920470871091
A,id_6,env_1,-0.4458914431253621
B,id_1,env_2,1.015025461552068
C,id_5,env_1,0.7032194222651975
D,id_3,env_2,-0.12331598901483783
A,id_5,env_1,-0.27701747244198377
B,id_5,env_2,-1.9017407658186898
C,id_5,env_1,-0.35791385802947495
D,id_2,env_2,-0.5291166750023603
A,id_6,env_1,0.7325888391965062
B,id_5,env_2,-0.7849878975518172
C,id_6,env_1,0.39783512404015886
D,id_1,env_2,0.64556243282949
A,id_5,env_1,0.9373581220430962
B,id_1,env_2,-0.21682185687574657
C,id_6,env_1,0.509452018519259
D,id_6,env_2,1.400581424450136
A,id_2,env_1,0.5939190751608096
B,id_5,env_2,0.5434295852872457
C,id_3,env_1,-0.4098762204947366
D,id_6,env_2,-1.3673038587598825
A,id_3,env_1,-1.0234478145255594
B,id_6,env_2,0.44732678963333933
C,id_6,env_1,1.3392184753488752
D,id_3,env_2,-0.6875403203364092
A,id_3,env_1,-1.2509238607010749
B,id_6,env_2,-1.06902770900025
C,id_1,env_1,-0.24176628445441936
D,id_1,env_2,-0.015802644741374352
A,id_2,env_1,0.6284938141111361
B,id_6,env_2,0.6946037130923266
C,id_6,env_1,-1.8912765949658668
D,id_4,env_2,1.4990112607220352
A,id_5,env_1,-0.09844589989086906
B,id_1,env_2,0.4009151758197814
C,id_1,env_1,0.017101677668146468
D,id_1,env_2,0.2230233656044027
A,id_2,env_1,0.900122913742179
B,id_6,env_2,-0.8137605087894602
C,id_3,env_1,-0.5716131753134797
D,id_5,env_2,-0.43168628121661123
A,id_1,env_1,-0.43592745589630905
B,id_3,env_2,-0.03430048775911688
C,id_2,env_1,-1.5377594206807368
D,id_2,env_2,0.1958171370437243
A,id_4,env_1,-0.846810380308323
B,id_5,env_2,-0.4325830306792761
C,id_6,env_1,0.42476779895461714
D,id_2,env_2,-1.7214441902536841
A,id_6,env_1,-1.3290040218527281
B,id_4,env_2,-0.5193144931891962
C,id_4,env_1,0.3300930531569789
D,id_4,env_2,1.9807693668348252
A,id_3,env_1,-2.408919650496328
B,id_1,env_2,1.9279468606647352
C,id_5,env_1,-1.1332694523642526
D,id_1,env_2,-1.3196361845529176
A,id_6,env_1,-0.17259029926972574
B,id_3,env_2,-2.2753398526644544
C,id_1,env_1,-0.43753040899995393
D,id_5,env_2,0.270815930636407
A,id_5,env_1,0.3511237706373032
B,id_5,env_2,0.8907261993260391
C,id_6,env_1,1.0062550431300272
D,id_5,env_2,1.2144791916498783
A,id_5,env_1,-0.25009522800103146
B,id_3,env_2,-1.4896349690398312
C,id_5,env_1,-0.8627582181146246
D,id_4,env_2,0.23301835454154976
A,id_2,env_1,0.0769507059508017
B,id_4,env_2,-2.156956138998487
C,id_3,env_1,-0.6014292134275115
D,id_3,env_2,0.4834279551285675
A,id_6,env_1,1.4562741876693812
B,id_1,env_2,1.0511386137774819
C,id_3,env_1,1.5913461826169304
D,id_2,env_2,-1.2468631071343121
A,id_6,env_1,-0.9884743527643202
B,id_2,env_2,-0.23247425987969392
C,id_2,env_1,-0.424995138181919
D,id_3,env_2,0.3361802135599493
A,id_6,env_1,-0.17897355690694666
B,id_2,env_2,-1.7095260239799734
C,id_5,env_1,-0.030106072359789723
D,id_5,env_2,-1.132252628495791
A,id_5,env_1,-1.0919864220904654
B,id_3,env_2,1.6889322953682702
C,id_5,env_1,-0.9509192364646121
D,id_5,env_2,-0.36728237974364986
A,id_2,env_1,-0.337887957776358
B,id_6,env_2,1.4437594758745738
C,id_4,env_1,0.03689792369168204
D,id_3,env_2,0.35251872936168843
A,id_5,env_1,-1.363961474280153
B,id_4,env_2,-1.148598736479436
C,id_5,env_1,-0.7698909441858439
D,id_5,env_2,1.6261777429706636
