year,artist.inverted,track,time,genre,date.entered,date.peaked,week,rank
2000,Destiny's Child,Independent Women Part I,03:38,Rock,9/23/00,11/18/00,1,78.0
2000,Santana,"Maria, Maria",04:18,Rock,2/12/00,4/8/00,1,15.0
2000,Savage Garden,I Knew I Loved You,04:07,Rock,10/23/99,1/29/00,1,71.0
2000,Madonna,Music,03:45,Rock,8/12/00,9/16/00,1,41.0
2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),03:38,Rock,8/5/00,10/14/00,1,57.0
2000,Janet,Doesn't Really Matter,04:17,Rock,6/17/00,8/26/00,1,59.0
2000,Destiny's Child,Say My Name,04:31,Rock,12/25/99,3/18/00,1,83.0
2000,"Iglesias, Enrique",Be With You,03:36,Latin,4/1/00,6/24/00,1,63.0
2000,Sisqo,Incomplete,03:52,Rock,6/24/00,8/12/00,1,77.0
2000,Lonestar,Amazed,04:25,Country,6/5/99,3/4/00,1,81.0
2000,N'Sync,It's Gonna Be Me,03:10,Rock,5/6/00,7/29/00,1,82.0
2000,"Aguilera, Christina",What A Girl Wants,03:18,Rock,11/27/99,1/15/00,1,71.0
2000,Vertical Horizon,Everything You Want,04:01,Rock,1/22/00,7/15/00,1,70.0
2000,Creed,With Arms Wide Open,03:52,Rock,5/13/00,11/11/00,1,84.0
2000,Aaliyah,Try Again,04:03,Rock,3/18/00,6/17/00,1,59.0
2000,matchbox twenty,Bent,04:12,Rock,4/29/00,7/22/00,1,60.0
2000,"Carey, Mariah",Thank God I Found You,04:14,Rock,12/11/99,2/19/00,1,82.0
2000,"Hill, Faith",Breathe,04:04,Rap,11/6/99,4/22/00,1,81.0
2000,Mya,Case Of The Ex (Whatcha Gonna Do),03:50,Rock,8/19/00,12/2/00,1,72.0
2000,Dream,He Loves U Not,03:43,Rock,9/30/00,12/30/00,1,99.0
2000,"Braxton, Toni",He Wasn't Man Enough,04:21,Rock,3/18/00,5/6/00,1,63.0
2000,"Anthony, Marc",You Sang To Me,03:50,Latin,2/26/00,6/3/00,1,77.0
2000,98°,Give Me Just One Night (Una Noche),03:24,Rock,8/19/00,9/30/00,1,51.0
2000,Destiny's Child,Jumpin' Jumpin',03:48,Rock,5/13/00,8/19/00,1,74.0
2000,3 Doors Down,Kryptonite,03:53,Rock,4/8/00,11/11/00,1,81.0
2000,Sisqo,Thong Song,04:05,Rock,1/29/00,5/20/00,1,74.0
2000,"Aguilera, Christina",I Turn To You,04:00,Rock,4/15/00,7/1/00,1,50.0
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,9/4/99,1/8/00,1,81.0
2000,Joe,I Wanna Know,04:57,Rock,1/1/00,7/1/00,1,94.0
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,10/23/99,2/12/00,1,92.0
2000,N'Sync,Bye Bye Bye,03:15,Rock,1/29/00,4/15/00,1,42.0
2000,Eminem,The Real Slim Shady,04:42,Rap,5/6/00,6/24/00,1,70.0
2000,Pink,Most Girls,04:06,Rock,8/12/00,11/25/00,1,85.0
2000,"Mumba, Samantha",Gotta Tell You,03:19,Rock,9/9/00,12/9/00,1,85.0
2000,Blaque,Bring It All To Me,03:46,Pop,10/23/99,1/22/00,1,73.0
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51,Rap,11/27/99,1/8/00,1,36.0
2000,"Gray, Macy",I Try,03:52,Rock,2/19/00,5/20/00,1,68.0
2000,N'Sync,This I Promise You,04:23,Rock,9/30/00,12/2/00,1,68.0
2000,Ruff Endz,No More,03:56,Rock,7/1/00,9/2/00,1,76.0
2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,03:54,Rock,1/1/00,3/18/00,1,74.0
2000,Nine Days,Absolutely (Story Of A Girl),03:09,Rock,5/6/00,7/22/00,1,85.0
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,11/13/99,3/4/00,1,74.0
2000,Blink-182,All The Small Things,02:52,Rock,12/4/99,2/19/00,1,89.0
2000,Eiffel 65,Blue (Da Ba Dee),03:29,Electronica,12/11/99,1/29/00,1,67.0
2000,"Badu, Erkyah",Bag Lady,05:03,Rock,8/19/00,10/7/00,1,67.0
2000,Pink,There U Go,03:23,Rock,3/4/00,4/8/00,1,25.0
2000,Creed,Higher,05:16,Rock,9/11/99,7/22/00,1,81.0
2000,Nelly,(Hot S**t) Country Grammar,04:17,Rap,4/29/00,9/16/00,1,100.0
2000,Next,Wifey,04:03,Rock,5/27/00,9/9/00,1,85.0
2000,Kenny G,Auld Lang Syne (The Millenium Mix),07:50,Jazz,12/25/99,1/8/00,1,89.0
2000,Sonique,It Feels So Good,03:48,Rock,1/22/00,4/22/00,1,67.0
2000,"Spears, Britney",Oops!.. I Did It Again,03:30,Rock,4/22/00,6/10/00,1,67.0
2000,"Backstreet Boys, The",Shape Of My Heart,03:49,Rock,10/14/00,12/2/00,1,39.0
2000,Everclear,Wonderful,04:30,Rock,7/8/00,9/30/00,1,77.0
2000,Ja Rule,Between Me And You,04:05,Rap,9/16/00,11/18/00,1,85.0
2000,"Rimes, LeAnn",I Need You,03:42,Country,5/27/00,8/12/00,1,77.0
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,10/30/99,1/29/00,1,83.0
2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),03:50,Rap,10/28/00,12/30/00,1,58.0
2000,Jagged Edge,Let's Get Married,04:23,Rock,5/6/00,7/29/00,1,77.0
2000,Filter,Take A Picture,04:23,Rock,11/27/99,2/5/00,1,91.0
2000,"Martin, Ricky",She Bangs,04:02,Latin,10/7/00,12/2/00,1,38.0
2000,Mystikal,Shake Ya Ass,04:46,Rap,8/12/00,10/28/00,1,97.0
2000,BBMak,Back Here,03:35,Rock,4/29/00,7/29/00,1,99.0
2000,"Spears, Britney",From The Bottom Of My Broken Heart,04:30,Rock,1/29/00,2/26/00,1,76.0
2000,Third Eye Blind,Never Let You Go,03:57,Rock,1/22/00,4/1/00,1,65.0
2000,Red Hot Chili Peppers,Otherside,04:13,Rock,2/12/00,5/27/00,1,80.0
2000,Profyle,Liar,03:57,R&B,9/16/00,10/28/00,1,52.0
2000,Barenaked Ladies,Pinch Me,03:46,Rock,9/9/00,11/25/00,1,77.0
2000,Jagged Edge,He Can't Love U,03:30,Rock,12/11/99,1/8/00,1,54.0
2000,504 Boyz,Wobble Wobble,03:35,Rap,4/15/00,5/6/00,1,57.0
2000,Sting,Desert Rose,03:52,Rock,5/13/00,8/26/00,1,98.0
2000,Jay-Z,Big Pimpin',03:55,Rap,4/22/00,7/8/00,1,69.0
2000,Kid Rock,Only God Knows Why,05:27,Rock,2/19/00,4/15/00,1,63.0
2000,Foo Fighters,Learn To Fly,03:55,Rock,10/16/99,1/22/00,1,80.0
2000,"Dixie Chicks, The",Goodbye Earl,04:19,Country,3/18/00,5/6/00,1,40.0
2000,Guy,Dancin',04:08,R&B,12/18/99,1/1/00,1,46.0
2000,Lil Bow Wow,Bounce With Me,03:22,Rap,8/19/00,9/16/00,1,48.0
2000,Westlife,Swear It Again,04:07,Rock,4/1/00,7/1/00,1,96.0
2000,Train,Meet Virginia,03:55,Rock,10/9/99,1/22/00,1,76.0
2000,"Thomas, Carl",I Wish,03:50,Rock,3/25/00,5/13/00,1,75.0
2000,Hanson,This Time Around,04:14,Country,4/22/00,5/6/00,1,22.0
2000,"Simpson, Jessica",I Think I'm In Love With You,03:32,Pop,7/1/00,8/12/00,1,63.0
2000,Ludacris,What's Your Fantasy,04:16,Rap,9/30/00,12/16/00,1,89.0
2000,Lil' Zane,Callin' Me,03:43,Rap,7/29/00,9/2/00,1,83.0
2000,M2M,Don't Say You Love Me,03:41,Pop,11/20/99,1/8/00,1,72.0
2000,SoulDecision,Faded,03:25,Rock,7/8/00,9/9/00,1,94.0
2000,"Brock, Chad",Yes!,03:22,Country,4/8/00,7/1/00,1,90.0
2000,"Martin, Ricky",Shake Your Bon-Bon,03:08,Latin,11/20/99,2/12/00,1,74.0
2000,Vertical Horizon,You're A God,03:45,Rock,8/26/00,11/4/00,1,64.0
2000,Avant,Separated,04:13,Rock,4/29/00,5/20/00,1,62.0
2000,"Rimes, LeAnn",Big Deal,03:03,Country,10/16/99,1/1/00,1,71.0
2000,IMx,Stay The Night,03:37,Rap,10/9/99,1/8/00,1,84.0
2000,Dr. Dre,The Next Episode,02:38,Rap,5/27/00,7/29/00,1,78.0
2000,"Spears, Britney",Lucky,03:23,Rock,8/12/00,9/9/00,1,61.0
2000,Savage Garden,Crash And Burn,04:41,Rock,4/8/00,5/27/00,1,75.0
2000,Kandi,Don't Think I'm Not,03:50,Rock,8/5/00,10/7/00,1,66.0
2000,Sammie,I Like It,04:09,Rock,1/29/00,4/15/00,1,85.0
2000,Goo Goo Dolls,Broadway,03:54,Rock,4/22/00,7/1/00,1,74.0
2000,"Moore, Mandy",I Wanna Be With You,04:12,Pop,6/17/00,8/12/00,1,69.0
