name,percent
Mary,0.055073
Helen,0.027498
Dorothy,0.021553
Margaret,0.021374
Ruth,0.019219
Mildred,0.014934
Anna,0.01464
Elizabeth,0.014531
Frances,0.011384
Marie,0.011314
Alice,0.010706
Florence,0.009779
Evelyn,0.009582
Lillian,0.009495
Rose,0.009256
Edna,0.008744
Louise,0.00872
Ethel,0.008642
Gladys,0.008485
Virginia,0.0082
Catherine,0.007956
Irene,0.007917
Ruby,0.007586
Grace,0.007526
Hazel,0.007151
Thelma,0.007132
Annie,0.00696
Josephine,0.006786
Martha,0.006672
Gertrude,0.006624
Edith,0.006549
Lucille,0.006418
Esther,0.006085
Clara,0.005932
Emma,0.005719
Bertha,0.005606
Beatrice,0.005461
Pauline,0.005393
Eleanor,0.00532
Agnes,0.005021
Sarah,0.004978
Elsie,0.004932
Bessie,0.004825
Julia,0.004811
Ida,0.004673
Mabel,0.004629
Ann,0.004545
Doris,0.004532
Eva,0.004492
Myrtle,0.004433
Bernice,0.004421
Viola,0.004346
Katherine,0.004337
Pearl,0.00431
Marion,0.004298
Marjorie,0.004208
Laura,0.004115
Anne,0.004042
Nellie,0.00403
Minnie,0.003916
Willie,0.003865
Alma,0.00372
Lois,0.003658
Jean,0.003503
Jessie,0.003496
Betty,0.003428
Lillie,0.003414
Vera,0.003367
Ella,0.003275
Mattie,0.003268
Kathryn,0.003247
Lena,0.003239
Stella,0.003128
Mae,0.003027
Blanche,0.003002
Leona,0.002814
Sylvia,0.002789
Lucy,0.002787
Marguerite,0.002765
Beulah,0.002741
Jennie,0.002715
Carrie,0.002691
Violet,0.002616
Vivian,0.002536
Opal,0.002495
Ellen,0.002471
Fannie,0.002432
Velma,0.002391
Hattie,0.002369
Jane,0.002369
Charlotte,0.002345
Genevieve,0.002308
Marian,0.002236
Rosa,0.002219
Mamie,0.002169
Ada,0.002163
Theresa,0.002157
Cora,0.002137
Wilma,0.002115
Inez,0.002091
Georgia,0.002035
Barbara,0.002021
Juanita,0.002014
Hilda,0.001973
Emily,0.001948
Alberta,0.001934
Lula,0.001866
Nancy,0.001839
Eunice,0.001816
Dora,0.001808
Estelle,0.001792
Daisy,0.001779
Harriet,0.001779
Sadie,0.001758
Maggie,0.001724
Geneva,0.001692
Sophie,0.001682
Kathleen,0.00168
Loretta,0.001668
Susie,0.001663
Sara,0.001639
Geraldine,0.001619
Christine,0.00161
Madeline,0.001607
Mable,0.001566
Verna,0.001559
Lola,0.001538
Flora,0.001533
Lucile,0.001504
Nora,0.001503
Olive,0.001487
Naomi,0.001419
Maria,0.00141
Henrietta,0.001402
Maxine,0.0014
Sally,0.001397
Norma,0.001364
Rosie,0.001349
Caroline,0.001337
Phyllis,0.001329
Erma,0.00132
Lottie,0.001313
Nettie,0.0013
Rebecca,0.001286
Audrey,0.001269
Eula,0.001265
Irma,0.001264
Della,0.001248
Katie,0.001248
Victoria,0.001213
Rachel,0.001199
Lydia,0.001194
May,0.00119
Muriel,0.001185
Essie,0.001184
Olga,0.001184
Roberta,0.001182
Goldie,0.001173
Miriam,0.001168
Amelia,0.001146
Effie,0.001136
Winifred,0.001129
Ollie,0.001098
Rita,0.001086
Sallie,0.001085
Jeanette,0.001061
Fern,0.001044
Ora,0.00103
Maude,0.001018
Nina,0.000991
Addie,0.000984
Adeline,0.00097
Freda,0.000964
Dorothea,0.000959
Isabel,0.000948
Lorraine,0.000945
Janet,0.000943
Veronica,0.000941
Iva,0.000936
Lizzie,0.000935
Wanda,0.00093
Anita,0.000921
Bonnie,0.000919
Lela,0.000892
Susan,0.00089
Dolores,0.000889
Isabelle,0.000887
Celia,0.000885
Carolyn,0.00088
Leola,0.000875
Cecelia,0.000873
Etta,0.00087
Ola,0.000866
Antoinette,0.000863
Patricia,0.000861
Lorene,0.000853
Marcella,0.000836
Shirley,0.000832
Jeannette,0.000831
Luella,0.000824
Regina,0.000824
Eloise,0.000807
Eileen,0.0008
June,0.000796
Cleo,0.000795
Mollie,0.00079
Alta,0.000781
Faye,0.000781
Jewell,0.000776
Cecilia,0.000773
Frieda,0.000757
Claire,0.00075
Fay,0.000742
Rosalie,0.000737
Sue,0.000735
Elva,0.000733
Nannie,0.000728
Nell,0.000718
Adele,0.000711
Ina,0.000711
Janie,0.000709
Jewel,0.000709
Angela,0.000679
Matilda,0.000679
Sophia,0.000677
Lila,0.000675
Estella,0.00067
Flossie,0.00067
Angelina,0.00066
Angeline,0.000658
Selma,0.000658
Helene,0.000643
Constance,0.00064
Elma,0.00064
Amy,0.000633
Johnnie,0.000624
Hannah,0.000612
Avis,0.000611
Margie,0.000607
Ernestine,0.000602
Jeanne,0.000594
Teresa,0.000588
Annette,0.000583
Virgie,0.000583
Reba,0.000571
Carol,0.000553
Allie,0.000549
Arlene,0.000549
Rena,0.000544
Joan,0.000541
Elnora,0.000537
Elaine,0.000532
Lee,0.000532
Amanda,0.000529
Zelma,0.000524
Elvira,0.00052
Leah,0.000515
Adelaide,0.00051
Rosemary,0.000508
Eliza,0.000505
Millie,0.0005
Edythe,0.000498
Gracie,0.000493
Olivia,0.000486
Tillie,0.000481
Lenora,0.000479
Belle,0.000476
Winnie,0.000472
Gwendolyn,0.000471
Cecile,0.000469
Francis,0.000466
Ila,0.000466
Dollie,0.000464
Josie,0.000459
Elinor,0.000455
Eugenia,0.000454
Hester,0.000452
Harriett,0.000445
Katharine,0.000445
Letha,0.000445
Kate,0.000443
Gussie,0.000442
Billie,0.00044
Clarice,0.000433
Cornelia,0.000433
Eleanore,0.000431
Augusta,0.00043
Callie,0.00043
Peggy,0.00043
Lessie,0.00042
Lily,0.000418
Lora,0.000418
Rosetta,0.000409
Corinne,0.000408
Lorena,0.000406
Madge,0.000399
Carmen,0.000394
Donna,0.000387
Laverne,0.000384
Odessa,0.000384
Neva,0.000382
Claudia,0.00038
Myra,0.00038
Bertie,0.000379
Joyce,0.000379
Natalie,0.000379
Merle,0.000377
Helena,0.000375
Iris,0.000375
Annabelle,0.000374
Maudie,0.000372
Melba,0.000372
Yvonne,0.00037
Carmela,0.000362
Lou,0.000362
Nola,0.00036
Ophelia,0.000355
Frankie,0.000353
Priscilla,0.00035
Roxie,0.000346
Aline,0.000345
Christina,0.000345
Molly,0.000336
Pearlie,0.000336
Leila,0.000333
Aileen,0.000327
Wilhelmina,0.000326
Bettie,0.000324
Linda,0.000322
Dolly,0.000321
Johanna,0.000321
Rhoda,0.000321
Lelia,0.000317
Rosella,0.000317
Zella,0.000317
Berniece,0.000316
Birdie,0.000316
Connie,0.000316
Catharine,0.000312
Alyce,0.00031
Hallie,0.00031
Corine,0.000309
Iola,0.000307
Willa,0.000307
Ione,0.000304
Dovie,0.000298
Bernadine,0.000293
Erna,0.000293
Delia,0.000292
Imogene,0.000292
Tessie,0.00029
Vesta,0.000288
Lenore,0.000287
Lilly,0.000287
Stephanie,0.000283
Mayme,0.000281
Oma,0.00028
Paula,0.00028
Loraine,0.000278
Jimmie,0.000276
Isabella,0.000275
Maurine,0.000275
Eddie,0.000273
Isabell,0.000273
Gloria,0.000271
Rubye,0.000269
Cynthia,0.000268
Nadine,0.000268
Pansy,0.000268
Arline,0.000266
Leota,0.000266
Mona,0.000266
Dessie,0.000264
Concetta,0.000261
Allene,0.000259
Beryl,0.000254
Maud,0.000254
Alvina,0.000251
Antonia,0.000249
Lucinda,0.000249
Nona,0.000249
Vada,0.000249
Polly,0.000247
Carmella,0.000244
Elise,0.000244
Kay,0.000244
Bernadette,0.000242
Janice,0.000242
Georgie,0.00024
Iona,0.00024
Robbie,0.00024
Leone,0.000237
Philomena,0.000237
Verda,0.000235
Wilda,0.000234
Cecil,0.00023
Gretchen,0.000229
Leora,0.000229
Gertie,0.000227
Hortense,0.000227
Zelda,0.000227
Clare,0.000225
Althea,0.000223
Elisabeth,0.000223
Ramona,0.000223
Leta,0.000222
Louella,0.000222
Madeleine,0.000222
Monica,0.000222
Dixie,0.00022
Margery,0.000217
Rae,0.000217
Harriette,0.000215
Alva,0.000213
Bess,0.000213
Lulu,0.000213
Madelyn,0.000213
Lona,0.000211
Tommie,0.000211
Beth,0.00021
Florine,0.00021
Jannie,0.00021
Marietta,0.00021
Mercedes,0.00021
Ester,0.000208
Linnie,0.000208
Agatha,0.000206
Reva,0.000206
Elsa,0.000203
Mathilda,0.000203
Floy,0.000201
Judith,0.000201
Lura,0.000201
Maybelle,0.000201
Elda,0.0002
Mozelle,0.0002
Sybil,0.0002
Queen,0.000198
Enid,0.000196
Fanny,0.000196
Mazie,0.000194
Bella,0.000193
Zola,0.000193
Artie,0.000191
John,0.000191
Vida,0.000191
Alpha,0.000189
Delores,0.000189
Minerva,0.000189
Dorthy,0.000188
Ivy,0.000188
Lauretta,0.000188
Oleta,0.000188
Una,0.000186
Winona,0.000184
Yetta,0.000184
Evangeline,0.000182
Garnet,0.000182
Mittie,0.000182
Belva,0.000181
Bobbie,0.000181
Melva,0.000181
Estell,0.000179
Hettie,0.000179
Myrtis,0.000179
Eve,0.000177
Golda,0.000177
Lorna,0.000177
Magnolia,0.000177
Ocie,0.000177
Orpha,0.000177
Phoebe,0.000177
Cassie,0.000176
Aurora,0.000174
Dorotha,0.000174
Elvera,0.000172
Veda,0.000172
Nelle,0.000171
Angie,0.000169
Marcia,0.000169
Patsy,0.000169
Zora,0.000169
Ava,0.000167
Ferne,0.000167
Alene,0.000165
Dortha,0.000165
Glenna,0.000165
Ona,0.000165
Rowena,0.000164
Lettie,0.000162
Adell,0.00016
Blanch,0.00016
Hope,0.000159
Juliette,0.000159
Lovie,0.000159
Mina,0.000159
Camille,0.000157
Guadalupe,0.000157
Retha,0.000157
Rhea,0.000157
Albina,0.000155
Valeria,0.000155
Abbie,0.000153
Aurelia,0.000153
Celeste,0.000153
Cordelia,0.000153
Idella,0.000153
Louisa,0.000153
Margret,0.000153
Marianne,0.000153
Corrine,0.000152
Emilie,0.000152
Jacqueline,0.000152
Ruthie,0.000152
Beverly,0.00015
Crystal,0.00015
Lucia,0.00015
Earline,0.000148
Magdalene,0.000148
Valerie,0.000148
Diana,0.000147
Era,0.000147
Julie,0.000147
Rosalind,0.000147
Germaine,0.000145
Lavina,0.000145
Margarita,0.000145
Meta,0.000145
Velva,0.000145
Evie,0.000143
Hulda,0.000143
Leatha,0.000143
Malinda,0.000143
Suzanne,0.000143
Yolanda,0.000143
Clementine,0.000142
Elena,0.000142
Georgiana,0.000142
Filomena,0.00014
Francisca,0.00014
Freida,0.00014
Sudie,0.00014
Vergie,0.00014
Ethelyn,0.000138
James,0.000138
Tina,0.000138
Audra,0.000136
Idell,0.000136
Johnie,0.000136
Charlie,0.000135
Odell,0.000135
Ursula,0.000135
Vernice,0.000133
William,0.000133
Delphine,0.000131
Lennie,0.000131
Lue,0.000131
Tressie,0.000131
Easter,0.000128
Delphia,0.000126
Roma,0.000126
Vivien,0.000126
Joanna,0.000125
Lyda,0.000125
Novella,0.000125
Vernie,0.000125
Delma,0.000123
Greta,0.000123
Jenny,0.000123
Elmira,0.000121
Manuela,0.000121
Millicent,0.000121
Octavia,0.000121
Rosamond,0.000121
Bennie,0.000119
Camilla,0.000119
Edwina,0.000119
Esta,0.000119
Marjory,0.000119
Nita,0.000119
Velda,0.000119
Almeda,0.000118
Chloe,0.000118
George,0.000118
Ludie,0.000118
Myrtie,0.000118
Reta,0.000118
Zula,0.000118
Antonette,0.000116
Evalyn,0.000116
Jo,0.000116
Joy,0.000116
Vallie,0.000116
Verona,0.000116
Vina,0.000116
Adella,0.000114
Charles,0.000114
Claudine,0.000114
Faith,0.000114
Justine,0.000114
