cow_id,farm_id,yield
1,2,1107.5398402777778
2,2,1113.3669791666666
3,1,1108.7675930555556
4,4,1103.4656055555556
5,4,1070.1546305555555
6,1,1103.5830791666667
7,2,1115.3982875
8,2,1098.638723611111
9,1,1085.4202277777779
10,3,1114.0149777777776
11,1,1113.4177055555556
12,2,1090.4119666666668
13,2,1090.7516819444445
14,4,1104.215798611111
15,1,1093.2045027777779
16,3,1093.6868430555555
17,2,1105.5674236111113
18,3,1097.2268777777779
19,1,1094.7599680555556
20,3,1093.8339069444444
21,3,1104.1963250000001
22,2,1106.324790277778
23,1,1091.0772527777779
24,4,1113.6698263888889
25,2,1113.2942083333332
26,2,1079.9200055555557
27,2,1100.633763888889
28,3,1095.3801333333336
29,2,1097.9173624999999
30,3,1106.1979444444446
31,4,1138.9023708333334
32,4,1108.1442152777777
33,4,1097.1659166666666
34,3,1102.0544847222222
35,1,1085.2984819444446
36,1,1107.1506819444446
37,4,1130.4662291666668
38,3,1078.6521958333335
39,2,1098.8498083333334
40,4,1087.243161111111
41,3,1101.7923777777778
42,3,1090.944626388889
43,1,1108.735509722222
44,1,1094.8373263888889
45,3,1110.1785611111113
46,1,1096.5471402777778
47,2,1090.160473611111
48,1,1097.5200791666666
49,3,1097.6072569444445
50,2,1102.7327111111113
