ID,breed,farm_id,day,weight,temperature,humidity,production,health
1,Holstein,farm_alpha,0,1226.549,20.9,59.4,22884.105,unproductive
1,Holstein,farm_alpha,0,1240.715,20.9,59.4,22092.718,unproductive
1,Holstein,farm_alpha,1,1281.532,22.8,61.1,22408.565,unproductive
1,Holstein,farm_alpha,1,1370.887,22.8,61.1,21686.424,unproductive
1,Holstein,farm_alpha,2,1370.809,21.3,79.2,23247.622,unproductive
1,Holstein,farm_alpha,2,1449.125,21.3,79.2,23422.241,unproductive
1,Holstein,farm_alpha,3,1539.589,18.9,47.1,22144.794,unproductive
1,Holstein,farm_alpha,3,1596.191,18.9,47.1,21026.214,unproductive
1,Holstein,farm_alpha,4,1654.794,21.9,74.6,24104.919,productive
1,Holstein,farm_alpha,4,1705.027,21.9,74.6,24156.825,productive
1,Holstein,farm_alpha,5,1726.571,15.3,34.6,21830.352,unproductive
1,Holstein,farm_alpha,5,1749.845,15.3,34.6,20444.183,unproductive
1,Holstein,farm_alpha,6,1823.444,21.2,37.5,22281.625,unproductive
1,Holstein,farm_alpha,6,1922.399,21.2,37.5,22413.24,unproductive
1,Holstein,farm_alpha,7,1950.604,21.2,42.9,23035.736,unproductive
1,Holstein,farm_alpha,7,2005.978,21.2,42.9,21803.432,unproductive
1,Holstein,farm_alpha,8,2041.995,19.4,60.0,22698.625,unproductive
1,Holstein,farm_alpha,8,2109.383,19.4,60.0,23164.777,unproductive
1,Holstein,farm_alpha,9,2165.742,20.6,42.4,21731.79,unproductive
1,Holstein,farm_alpha,9,2187.101,20.6,42.4,22873.061,unproductive
1,Holstein,farm_alpha,10,2195.927,20.1,60.0,23006.221,unproductive
1,Holstein,farm_alpha,10,2192.412,20.1,60.0,22539.628,unproductive
1,Holstein,farm_alpha,11,2193.499,24.6,59.9,23491.749,unproductive
1,Holstein,farm_alpha,11,2275.397,24.6,59.9,24879.148,productive
1,Holstein,farm_alpha,12,2296.57,19.4,32.6,21998.55,unproductive
1,Holstein,farm_alpha,12,2334.596,19.4,32.6,21843.497,unproductive
1,Holstein,farm_alpha,13,2367.125,19.7,56.6,23442.861,unproductive
1,Holstein,farm_alpha,13,2419.79,19.7,56.6,23278.661,unproductive
1,Holstein,farm_alpha,14,2482.041,19.1,44.6,23338.666,unproductive
1,Holstein,farm_alpha,14,2534.824,19.1,44.6,23810.173,unproductive
1,Holstein,farm_alpha,15,2608.372,18.8,42.7,23253.729,unproductive
1,Holstein,farm_alpha,15,2690.219,18.8,42.7,23186.434,unproductive
1,Holstein,farm_alpha,16,2696.258,24.4,46.1,24461.76,productive
1,Holstein,farm_alpha,16,2723.941,24.4,46.1,23420.952,unproductive
1,Holstein,farm_alpha,17,2780.777,21.3,36.8,23010.663,unproductive
1,Holstein,farm_alpha,17,2866.395,21.3,36.8,23100.436,unproductive
1,Holstein,farm_alpha,18,2913.614,24.7,54.1,25185.806,productive
1,Holstein,farm_alpha,18,2934.778,24.7,54.1,24744.173,productive
1,Holstein,farm_alpha,19,2938.855,20.4,40.1,24159.151,productive
1,Holstein,farm_alpha,19,3032.522,20.4,40.1,24375.619,productive
1,Holstein,farm_alpha,20,3048.055,24.2,32.3,23245.852,unproductive
1,Holstein,farm_alpha,20,3103.294,24.2,32.3,23747.49,unproductive
1,Holstein,farm_alpha,21,3168.113,18.1,39.3,24116.435,productive
1,Holstein,farm_alpha,21,3265.239,18.1,39.3,23409.064,unproductive
1,Holstein,farm_alpha,22,3307.933,15.8,53.8,23178.736,unproductive
1,Holstein,farm_alpha,22,3377.393,15.8,53.8,23170.125,unproductive
1,Holstein,farm_alpha,23,3427.023,21.5,79.8,25970.477,productive
1,Holstein,farm_alpha,23,3469.142,21.5,79.8,25222.541,productive
1,Holstein,farm_alpha,24,3560.819,24.8,44.1,25382.204,productive
1,Holstein,farm_alpha,24,3594.224,24.8,44.1,24988.077,productive
1,Holstein,farm_alpha,25,3634.43,22.6,31.9,23103.386,unproductive
1,Holstein,farm_alpha,25,3681.443,22.6,31.9,24860.974,productive
1,Holstein,farm_alpha,26,3708.654,24.0,52.3,24395.516,productive
1,Holstein,farm_alpha,26,3794.592,24.0,52.3,25573.72,productive
1,Holstein,farm_alpha,27,3812.153,21.4,46.4,24584.943,productive
1,Holstein,farm_alpha,27,3891.665,21.4,46.4,25399.77,productive
1,Holstein,farm_alpha,28,3922.534,23.8,58.5,26711.128,productive
1,Holstein,farm_alpha,28,3996.621,23.8,58.5,25030.934,productive
1,Holstein,farm_alpha,29,4071.501,15.8,44.3,24804.134,productive
1,Holstein,farm_alpha,29,4079.14,15.8,44.3,24362.45,productive
1,Holstein,farm_alpha,30,4090.677,23.1,62.8,26766.193,productive
1,Holstein,farm_alpha,30,4154.551,23.1,62.8,26131.662,productive
1,Holstein,farm_alpha,31,4246.714,21.8,57.8,26628.123,productive
1,Holstein,farm_alpha,31,4345.17,21.8,57.8,26036.7,productive
1,Holstein,farm_alpha,32,4403.53,23.7,64.3,25842.192,productive
1,Holstein,farm_alpha,32,4427.502,23.7,64.3,26004.111,productive
1,Holstein,farm_alpha,33,4439.042,15.5,43.5,24808.314,productive
1,Holstein,farm_alpha,33,4527.362,15.5,43.5,25609.395,productive
1,Holstein,farm_alpha,34,4562.101,24.8,32.8,26201.464,productive
1,Holstein,farm_alpha,34,4639.588,24.8,32.8,26559.083,productive
1,Holstein,farm_alpha,35,4660.76,21.4,72.7,28001.431,productive
1,Holstein,farm_alpha,35,4717.66,21.4,72.7,26630.244,productive
1,Holstein,farm_alpha,36,4743.725,15.8,30.7,24675.376,productive
1,Holstein,farm_alpha,36,4768.61,15.8,30.7,24057.925,productive
1,Holstein,farm_alpha,37,4797.027,22.3,55.7,26775.781,productive
1,Holstein,farm_alpha,37,4877.635,22.3,55.7,26193.804,productive
1,Holstein,farm_alpha,38,4905.479,15.9,75.1,27528.573,productive
1,Holstein,farm_alpha,38,4993.583,15.9,75.1,28191.405,productive
1,Holstein,farm_alpha,39,5016.544,16.5,40.7,25485.33,productive
1,Holstein,farm_alpha,39,5087.357,16.5,40.7,24959.277,productive
1,Holstein,farm_alpha,40,5100.984,21.1,70.6,28074.756,productive
1,Holstein,farm_alpha,40,5102.428,21.1,70.6,26970.248,productive
1,Holstein,farm_alpha,41,5187.29,18.6,77.9,28103.024,productive
1,Holstein,farm_alpha,41,5269.733,18.6,77.9,28483.818,productive
2,Holstein,farm_alpha,0,1237.642,23.8,38.3,20994.589,unproductive
2,Holstein,farm_alpha,0,1315.411,23.8,38.3,20965.008,unproductive
2,Holstein,farm_alpha,1,1331.141,16.4,36.3,20024.802,unproductive
2,Holstein,farm_alpha,1,1404.787,16.4,36.3,19815.773,unproductive
2,Holstein,farm_alpha,2,1468.519,24.0,74.5,22905.499,unproductive
2,Holstein,farm_alpha,2,1488.353,24.0,74.5,23950.004,unproductive
2,Holstein,farm_alpha,3,1515.232,21.6,43.6,21845.193,unproductive
2,Holstein,farm_alpha,3,1540.627,21.6,43.6,22831.251,unproductive
2,Holstein,farm_alpha,4,1583.117,17.5,50.3,21870.539,unproductive
2,Holstein,farm_alpha,4,1594.363,17.5,50.3,21281.093,unproductive
2,Holstein,farm_alpha,5,1688.715,20.6,79.5,22873.258,unproductive
2,Holstein,farm_alpha,5,1745.157,20.6,79.5,24046.262,productive
2,Holstein,farm_alpha,6,1837.524,23.6,52.0,22976.291,unproductive
2,Holstein,farm_alpha,6,1842.397,23.6,52.0,22701.593,unproductive
2,Holstein,farm_alpha,7,1916.186,23.4,69.7,23805.082,unproductive
2,Holstein,farm_alpha,7,1998.36,23.4,69.7,24093.518,productive
2,Holstein,farm_alpha,8,2054.251,19.7,33.3,21389.176,unproductive
2,Holstein,farm_alpha,8,2080.938,19.7,33.3,22641.137,unproductive
2,Holstein,farm_alpha,9,2112.425,15.6,77.5,24103.911,productive
2,Holstein,farm_alpha,9,2201.253,15.6,77.5,23695.331,unproductive
