cow_id,BD,name,d,weight,temp,humidity,pA,pB,health
1,Holstein,farm_beta,0,1172.656,19.0,59.0,22331.308,21232.593,good
1,Holstein,farm_beta,1,1150.44,24.5,64.7,22076.244,22581.067,good
1,Holstein,farm_beta,2,1140.685,15.3,58.1,21232.22,21222.451,good
1,Holstein,farm_beta,3,1145.814,17.5,74.6,22500.715,21887.995,good
1,Holstein,farm_beta,4,1117.976,16.0,60.6,20767.432,22020.917,good
1,Holstein,farm_beta,5,1108.335,20.9,66.5,23025.083,21973.22,good
1,Holstein,farm_beta,6,1099.251,15.9,44.6,20229.397,21462.847,good
1,Holstein,farm_beta,7,1073.247,22.1,66.6,23098.029,21634.86,good
1,Holstein,farm_beta,8,1063.047,15.8,35.6,20592.151,21185.727,good
1,Holstein,farm_beta,9,1045.263,20.6,47.0,22166.368,21407.898,good
1,Holstein,farm_beta,10,1022.133,24.9,43.6,21305.642,20808.89,good
1,Holstein,farm_beta,11,1034.707,22.0,37.4,20873.308,19943.677,good
1,Holstein,farm_beta,12,1019.866,18.7,49.9,20554.386,21713.006,good
1,Holstein,farm_beta,13,1019.63,22.7,41.3,21857.62,20372.772,good
1,Holstein,farm_beta,14,1027.059,24.5,55.6,22123.977,21712.425,good
1,Holstein,farm_beta,15,1025.767,23.9,68.5,21782.338,22768.266,good
1,Holstein,farm_beta,16,1036.666,21.7,53.0,22591.039,21712.146,good
1,Holstein,farm_beta,17,1043.242,17.6,77.6,22891.499,21972.58,good
1,Holstein,farm_beta,18,1021.343,22.8,68.6,22016.004,23273.938,good
1,Holstein,farm_beta,19,1038.405,20.4,42.7,21567.209,21486.639,good
1,Holstein,farm_beta,20,1051.342,16.0,70.3,22643.382,21729.448,good
1,Holstein,farm_beta,21,1049.869,24.3,40.7,21053.975,21832.074,good
1,Holstein,farm_beta,22,1057.247,15.5,37.0,20626.158,20694.452,good
1,Holstein,farm_beta,23,1057.442,16.5,51.7,21539.356,21259.702,good
1,Holstein,farm_beta,24,1045.44,22.8,58.2,21615.956,22067.807,good
1,Holstein,farm_beta,25,1040.596,22.8,39.9,21143.088,20796.841,good
1,Holstein,farm_beta,26,1050.581,21.8,50.0,21370.727,22413.567,good
1,Holstein,farm_beta,27,1026.654,20.1,40.5,20392.602,20144.731,good
1,Holstein,farm_beta,28,1017.673,19.3,76.3,23409.082,21650.014,good
1,Holstein,farm_beta,29,992.939,16.1,71.9,21856.599,22139.212,good
1,Holstein,farm_beta,30,988.444,18.5,40.1,19878.045,20096.236,good
1,Holstein,farm_beta,31,977.898,18.4,31.3,19365.984,19522.332,good
1,Holstein,farm_beta,32,963.3,23.3,54.5,22067.582,22042.023,good
1,Holstein,farm_beta,33,948.37,17.7,65.2,22318.844,21430.479,good
1,Holstein,farm_beta,34,937.619,16.3,68.8,22303.307,22297.487,good
1,Holstein,farm_beta,35,919.285,16.1,75.6,21786.622,21375.782,good
1,Holstein,farm_beta,36,925.305,16.0,58.7,21428.617,20623.824,good
1,Holstein,farm_beta,37,916.381,19.4,46.0,20162.161,21554.147,good
1,Holstein,farm_beta,38,909.758,17.7,62.0,21807.063,20825.821,good
1,Holstein,farm_beta,39,902.809,23.4,43.9,20404.908,20860.998,good
1,Holstein,farm_beta,40,895.009,19.6,53.5,20622.294,21688.967,good
1,Holstein,farm_beta,41,880.401,16.0,60.2,20757.419,21417.691,good
2,Holstein,farm_beta,0,1190.292,22.1,79.8,22367.101,23349.26,good
2,Holstein,farm_beta,1,1189.367,17.3,75.4,22751.399,22585.008,good
2,Holstein,farm_beta,2,1188.3,25.0,32.7,20428.891,21008.636,good
2,Holstein,farm_beta,3,1182.523,24.0,35.7,20385.13,20671.222,good
2,Holstein,farm_beta,4,1192.702,18.2,72.7,22089.392,21867.532,good
2,Holstein,farm_beta,5,1182.351,20.4,38.0,21587.411,20158.35,good
2,Holstein,farm_beta,6,1161.511,15.6,75.2,22637.93,22839.936,good
2,Holstein,farm_beta,7,1155.257,19.9,78.7,22552.466,22473.505,good
2,Holstein,farm_beta,8,1141.636,16.2,47.3,20602.493,20603.009,good
2,Holstein,farm_beta,9,1109.505,24.2,73.5,22932.829,22835.647,good
2,Holstein,farm_beta,10,1083.151,20.1,55.2,21127.037,21066.491,good
2,Holstein,farm_beta,11,1086.714,22.4,52.5,22564.651,21228.461,good
2,Holstein,farm_beta,12,1097.239,15.3,61.0,21435.243,20731.901,good
2,Holstein,farm_beta,13,1108.65,15.9,58.8,21828.838,21702.058,good
2,Holstein,farm_beta,14,1092.084,20.0,67.7,22539.975,21948.997,good
2,Holstein,farm_beta,15,1091.347,21.5,37.4,20172.872,20687.538,good
2,Holstein,farm_beta,16,1097.144,17.9,63.9,22255.288,21870.211,good
2,Holstein,farm_beta,17,1083.746,15.2,31.2,19104.062,19447.752,good
2,Holstein,farm_beta,18,1091.846,17.5,40.6,20196.231,21599.616,good
2,Holstein,farm_beta,19,1108.98,21.4,46.1,22359.346,20817.675,good
2,Holstein,farm_beta,20,1118.365,22.5,43.3,21029.869,20742.02,good
2,Holstein,farm_beta,21,1105.65,19.5,66.5,22997.432,22339.594,good
2,Holstein,farm_beta,22,1097.673,18.6,60.4,22074.607,21835.524,good
2,Holstein,farm_beta,23,1107.903,16.8,67.5,22924.958,22025.519,good
2,Holstein,farm_beta,24,1101.055,20.8,75.6,22096.054,22478.046,good
2,Holstein,farm_beta,25,1083.495,21.2,51.5,21801.537,21560.559,good
2,Holstein,farm_beta,26,1068.734,20.7,66.8,21637.962,22792.584,good
2,Holstein,farm_beta,27,1059.49,20.5,56.7,22500.875,22647.728,good
2,Holstein,farm_beta,28,1031.983,18.8,34.3,20259.327,20294.375,good
2,Holstein,farm_beta,29,1009.696,18.8,72.7,21927.229,22719.489,good
2,Holstein,farm_beta,30,1016.198,15.7,31.1,19277.685,20533.797,good
2,Holstein,farm_beta,31,984.718,21.4,79.5,22750.356,22695.531,good
